fontconfig-config	fontconfig	2.15.0-2.3	2.15.0-2.3
fonts-dejavu-core	fonts-dejavu	2.37-8	2.37-8
libacl1:amd64	acl	2.3.2-2	2.3.2-2+b1
libarchive13t64:amd64	libarchive	3.7.4-4+deb13u1	3.7.4-4+deb13u1
libassuan9:amd64	libassuan	3.0.2-2	3.0.2-2
libbrotli1:amd64	brotli	1.1.0-2	1.1.0-2+b7
libbz2-1.0:amd64	bzip2	1.0.8-6	1.0.8-6
libc6:amd64	glibc	2.41-12	2.41-12
libcom-err2:amd64	e2fsprogs	1.47.2-3	1.47.2-3+b11
libcurl3t64-gnutls:amd64	curl	8.14.1-2+deb13u4	8.14.1-2+deb13u4
libcurl4t64:amd64	curl	8.14.1-2+deb13u4	8.14.1-2+deb13u4
libdeflate0:amd64	libdeflate	1.23-2	1.23-2
libexpat1:amd64	expat	2.8.3-1~deb13u1	2.8.3-1~deb13u1
libffi8:amd64	libffi	3.4.8-2	3.4.8-2
libfontconfig1:amd64	fontconfig	2.15.0-2.3	2.15.0-2.3
libfreetype6:amd64	freetype	2.13.3+dfsg-1+deb13u1	2.13.3+dfsg-1+deb13u1
libgcc-s1:amd64	gcc-14	14.2.0-19	14.2.0-19
libgif7:amd64	giflib	5.2.2-1+deb13u1	5.2.2-1+deb13u1
libgmp10:amd64	gmp	2:6.3.0+dfsg-3	2:6.3.0+dfsg-3
libgnutls30t64:amd64	gnutls28	3.8.9-3+deb13u4	3.8.9-3+deb13u4
libgomp1:amd64	gcc-14	14.2.0-19	14.2.0-19
libgpg-error0:amd64	libgpg-error	1.51-4	1.51-4
libgpgme11t64:amd64	gpgme1.0	1.24.2-3	1.24.2-3
libgpgmepp6t64:amd64	gpgme1.0	1.24.2-3	1.24.2-3
libgssapi-krb5-2:amd64	krb5	1.21.3-5+deb13u1	1.21.3-5+deb13u1
libhogweed6t64:amd64	nettle	3.10.1-1	3.10.1-1
libidn2-0:amd64	libidn2	2.3.8-2	2.3.8-2
libjbig0:amd64	jbigkit	2.1-6.1	2.1-6.1+b2
libjpeg62-turbo:amd64	libjpeg-turbo	1:2.1.5-4	1:2.1.5-4
libk5crypto3:amd64	krb5	1.21.3-5+deb13u1	1.21.3-5+deb13u1
libkeyutils1:amd64	keyutils	1.6.3-6	1.6.3-6
libkrb5-3:amd64	krb5	1.21.3-5+deb13u1	1.21.3-5+deb13u1
libkrb5support0:amd64	krb5	1.21.3-5+deb13u1	1.21.3-5+deb13u1
liblcms2-2:amd64	lcms2	2.16-2+deb13u2	2.16-2+deb13u2
libldap2:amd64	openldap	2.6.10+dfsg-1	2.6.10+dfsg-1
libleptonica6:amd64	leptonlib	1.84.1-4	1.84.1-4
liblerc4:amd64	lerc	4.0.0+ds-5	4.0.0+ds-5
liblz4-1:amd64	lz4	1.10.0-4	1.10.0-4
liblzma5:amd64	xz-utils	5.8.1-1	5.8.1-1
libnettle8t64:amd64	nettle	3.10.1-1	3.10.1-1
libnghttp2-14:amd64	nghttp2	1.64.0-1.1+deb13u1	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	nghttp3	1.8.0-1	1.8.0-1
libngtcp2-16:amd64	ngtcp2	1.11.0-1+deb13u1	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	ngtcp2	1.11.0-1+deb13u1	1.11.0-1+deb13u1
libnspr4:amd64	nspr	2:4.36-1	2:4.36-1
libnss3:amd64	nss	2:3.110-1+deb13u4	2:3.110-1+deb13u4
libopenjp2-7:amd64	openjpeg2	2.5.3-2.1~deb13u2	2.5.3-2.1~deb13u2
libp11-kit0:amd64	p11-kit	0.25.5-3	0.25.5-3
libpng16-16t64:amd64	libpng1.6	1.6.48-1+deb13u5	1.6.48-1+deb13u5
libpoppler147:amd64	poppler	25.03.0-5+deb13u4	25.03.0-5+deb13u4
libpsl5t64:amd64	libpsl	0.21.2-1.1	0.21.2-1.1+b1
librtmp1:amd64	rtmpdump	2.4+20151223.gitfa8646d.1-2	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	cyrus-sasl2	2.1.28+dfsg1-9	2.1.28+dfsg1-9
libsharpyuv0:amd64	libwebp	1.5.0-0.1	1.5.0-0.1
libssh2-1t64:amd64	libssh2	1.11.1-1+deb13u1	1.11.1-1+deb13u1
libssl3t64:amd64	openssl	3.5.1-1+deb13u1	3.5.1-1+deb13u1
libstdc++6:amd64	gcc-14	14.2.0-19	14.2.0-19
libtasn1-6:amd64	libtasn1-6	4.20.0-2+deb13u1	4.20.0-2+deb13u1
libtesseract5:amd64	tesseract	5.5.0-1	5.5.0-1+b1
